پایگاه داده جامع فیدهای RSS رسانه‌های داخلی ایران — نسخه گسترش‌یافته,,,,,,,,
#,نام رسانه (فارسی),نام رسانه (انگلیسی),نوع رسانه,پوشش,زبان,دسته‌بندی,لینک RSS,وضعیت
1,ایرنا,IRNA,خبرگزاری رسمی,سراسری,FA,همه اخبار,https://www.irna.ir/rss.xml,فعال
2,ایرنا,IRNA,خبرگزاری رسمی,سراسری,FA,سیاسی,https://www.irna.ir/fa/rss.aspx?kind=10,فعال
3,ایرنا,IRNA,خبرگزاری رسمی,سراسری,FA,اقتصادی,https://www.irna.ir/fa/rss.aspx?kind=11,فعال
4,ایرنا,IRNA,خبرگزاری رسمی,سراسری,FA,اجتماعی,https://www.irna.ir/fa/rss.aspx?kind=12,فعال
5,ایرنا,IRNA,خبرگزاری رسمی,سراسری,FA,بین‌الملل,https://www.irna.ir/fa/rss.aspx?kind=13,فعال
6,ایرنا,IRNA,خبرگزاری رسمی,سراسری,FA,فرهنگ و هنر,https://www.irna.ir/fa/rss.aspx?kind=14,فعال
7,ایرنا,IRNA,خبرگزاری رسمی,سراسری,FA,ورزشی,https://www.irna.ir/fa/rss.aspx?kind=15,فعال
8,ایرنا,IRNA,خبرگزاری رسمی,سراسری,FA,علم و فناوری,https://www.irna.ir/fa/rss.aspx?kind=17,فعال
9,ایرنا,IRNA,خبرگزاری رسمی,سراسری,FA,استانی,https://www.irna.ir/fa/rss.aspx?kind=16,فعال
10,ایرنا انگلیسی,IRNA English,خبرگزاری رسمی,سراسری,EN,همه اخبار,https://en.irna.ir/rss,فعال
11,تسنیم,Tasnim,خبرگزاری رسمی,سراسری,FA,همه اخبار,https://www.tasnimnews.com/fa/rss,فعال
12,تسنیم,Tasnim,خبرگزاری رسمی,سراسری,FA,سیاسی,https://www.tasnimnews.com/fa/rss/feed/0/2/0/,فعال
13,تسنیم,Tasnim,خبرگزاری رسمی,سراسری,FA,اقتصادی,https://www.tasnimnews.com/fa/rss/feed/0/4/0/,فعال
14,تسنیم,Tasnim,خبرگزاری رسمی,سراسری,FA,جامعه,https://www.tasnimnews.com/fa/rss/feed/0/3/0/,فعال
15,تسنیم,Tasnim,خبرگزاری رسمی,سراسری,FA,بین‌الملل,https://www.tasnimnews.com/fa/rss/feed/0/5/0/,فعال
16,تسنیم,Tasnim,خبرگزاری رسمی,سراسری,FA,ورزشی,https://www.tasnimnews.com/fa/rss/feed/0/9/0/,فعال
17,تسنیم,Tasnim,خبرگزاری رسمی,سراسری,FA,دفاعی,https://www.tasnimnews.com/fa/rss/feed/0/88/0/,فعال
18,تسنیم,Tasnim,خبرگزاری رسمی,سراسری,FA,هسته‌ای,https://www.tasnimnews.com/fa/rss/feed/0/57/0/,فعال
19,تسنیم,Tasnim,خبرگزاری رسمی,سراسری,FA,گردشگری,https://www.tasnimnews.com/fa/rss/feed/0/70/0/,فعال
20,تسنیم,Tasnim,خبرگزاری رسمی,سراسری,FA,فرهنگ و هنر,https://www.tasnimnews.com/fa/rss/feed/0/6/0/,فعال
21,تسنیم,Tasnim,خبرگزاری رسمی,سراسری,FA,علمی,https://www.tasnimnews.com/fa/rss/feed/0/7/0/,فعال
22,تسنیم,Tasnim,خبرگزاری رسمی,سراسری,FA,مهمترین,https://www.tasnimnews.com/fa/rss/feed/0/8/0/,فعال
23,تسنیم انگلیسی,Tasnim English,خبرگزاری رسمی,سراسری,EN,همه اخبار,https://www.tasnimnews.com/en/rss/feed/0/7/0/all-stories,فعال
24,فارس,Fars News,خبرگزاری رسمی,سراسری,FA,همه اخبار,https://www.farsnews.ir/rss/allnews,فعال
25,فارس,Fars News,خبرگزاری رسمی,سراسری,FA,سیاسی,https://www.farsnews.ir/rss/fn14000000000000000000000000000000001,فعال
26,فارس,Fars News,خبرگزاری رسمی,سراسری,FA,اقتصادی,https://www.farsnews.ir/rss/fn14000000000000000000000000000000002,فعال
27,فارس,Fars News,خبرگزاری رسمی,سراسری,FA,جامعه,https://www.farsnews.ir/rss/fn14000000000000000000000000000000003,فعال
28,فارس,Fars News,خبرگزاری رسمی,سراسری,FA,بین‌الملل,https://www.farsnews.ir/rss/fn14000000000000000000000000000000004,فعال
29,فارس,Fars News,خبرگزاری رسمی,سراسری,FA,فرهنگ و هنر,https://www.farsnews.ir/rss/fn14000000000000000000000000000000005,فعال
30,فارس,Fars News,خبرگزاری رسمی,سراسری,FA,ورزشی,https://www.farsnews.ir/rss/fn14000000000000000000000000000000006,فعال
31,فارس,Fars News,خبرگزاری رسمی,سراسری,FA,دفاع و امنیت,https://www.farsnews.ir/rss/fn14000000000000000000000000000000007,فعال
32,فارس,Fars News,خبرگزاری رسمی,سراسری,FA,علمی,https://www.farsnews.ir/rss/fn14000000000000000000000000000000008,فعال
33,فارس,Fars News,خبرگزاری رسمی,سراسری,FA,استانی,https://www.farsnews.ir/rss/fn14000000000000000000000000000000009,فعال
34,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,همه اخبار,https://www.mehrnews.com/rss,فعال
35,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,سیاست داخلی,https://www.mehrnews.com/rss/tp/1,فعال
36,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,اقتصاد,https://www.mehrnews.com/rss/tp/2,فعال
37,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,اجتماعی,https://www.mehrnews.com/rss/tp/3,فعال
38,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,فرهنگ و هنر,https://www.mehrnews.com/rss/tp/4,فعال
39,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,دین و اندیشه,https://www.mehrnews.com/rss/tp/5,فعال
40,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,بین‌الملل,https://www.mehrnews.com/rss/tp/6,فعال
41,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,علمی-پژوهشی,https://www.mehrnews.com/rss/tp/7,فعال
42,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,ورزشی,https://www.mehrnews.com/rss/tp/8,فعال
43,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,فناوری اطلاعات,https://www.mehrnews.com/rss/tp/9,فعال
44,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,محیط زیست,https://www.mehrnews.com/rss/tp/11,فعال
45,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,رسانه,https://www.mehrnews.com/rss/tp/12,فعال
46,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,استان‌ها,https://www.mehrnews.com/rss/tp/13,فعال
47,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,دفاعی,https://www.mehrnews.com/rss/tp/14,فعال
48,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,آموزش,https://www.mehrnews.com/rss/tp/22,فعال
49,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,سلامت,https://www.mehrnews.com/rss/tp/28,فعال
50,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,گردشگری,https://www.mehrnews.com/rss/tp/46,فعال
51,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,کشاورزی,https://www.mehrnews.com/rss/tp/58,فعال
52,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,انرژی,https://www.mehrnews.com/rss/tp/62,فعال
53,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,قضایی,https://www.mehrnews.com/rss/tp/74,فعال
54,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,خراسان رضوی,https://www.mehrnews.com/rss/pl/15,فعال
55,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,تهران,https://www.mehrnews.com/rss/pl/1,فعال
56,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,اصفهان,https://www.mehrnews.com/rss/pl/5,فعال
57,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,فارس,https://www.mehrnews.com/rss/pl/10,فعال
58,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,خوزستان,https://www.mehrnews.com/rss/pl/11,فعال
59,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,آذربایجان شرقی,https://www.mehrnews.com/rss/pl/2,فعال
60,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,آذربایجان غربی,https://www.mehrnews.com/rss/pl/3,فعال
61,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,گیلان,https://www.mehrnews.com/rss/pl/13,فعال
62,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,مازندران,https://www.mehrnews.com/rss/pl/17,فعال
63,مهر,Mehr News,خبرگزاری رسمی,سراسری,FA,کرمانشاه,https://www.mehrnews.com/rss/pl/18,فعال
64,مهر انگلیسی,Mehr English,خبرگزاری رسمی,سراسری,EN,همه اخبار,https://en.mehrnews.com/rss,فعال
65,ایسنا,ISNA,خبرگزاری رسمی,سراسری,FA,همه اخبار,https://www.isna.ir/rss,فعال
66,ایسنا,ISNA,خبرگزاری رسمی,سراسری,FA,سیاسی,https://www.isna.ir/rss/id/1,فعال
67,ایسنا,ISNA,خبرگزاری رسمی,سراسری,FA,اقتصادی,https://www.isna.ir/rss/id/2,فعال
68,ایسنا,ISNA,خبرگزاری رسمی,سراسری,FA,علمی,https://www.isna.ir/rss/id/3,فعال
69,ایسنا,ISNA,خبرگزاری رسمی,سراسری,FA,اجتماعی,https://www.isna.ir/rss/id/4,فعال
70,ایسنا,ISNA,خبرگزاری رسمی,سراسری,FA,بین‌الملل,https://www.isna.ir/rss/id/5,فعال
71,ایسنا,ISNA,خبرگزاری رسمی,سراسری,FA,فرهنگی,https://www.isna.ir/rss/id/6,فعال
